repo,cve_id,ghsa_id,related_ghsa_ids,duplicate_advisory_count,severity,published_at,summary,package_ecosystems,package_names,patched_versions,cwe_ids,fix_commit_sha,fix_commit_note,fix_commit_msg,fix_commit_author,ai_in_fix_commit_msg,fix_pr_number,fix_pr_label,fix_pr_confidence,fix_pr_aidev_sourced,fix_review_count,fix_reviewer_count,fix_review_duration_hrs,fix_security_flagged_in_review
microsoft/vscode,CVE-2023-33144,GHSA-j5wm-6crw-xvmr,GHSA-j5wm-6crw-xvmr,1,high,2023-06-13,Information Disclosure Vulnerability,,,1.79.1,,67fa15cbc7ecfcc164127c5a346c1185596e9dce,resolved from tag 1.79.1,unc - fix path traversal bypass,bpasero,0,,unresolved,none,0,,,,0
microsoft/vscode,CVE-2023-29338,GHSA-mmfh-4pv3-39hr,GHSA-mmfh-4pv3-39hr,1,high,2023-05-09,Information Disclosure Vulnerability,,,1.78.1,,6a995c4f4cc2ced6e3237749973982e751cb0bf9,resolved from tag 1.78.1,"unc - adopt setting and handling of allow list (#5)  * unc - adopt setting and handling of allow list  * unc - set allow list on server too  * unc - pick our patched node.js for now  * bump elec",bpasero,0,,unresolved,none,0,,,,0
microsoft/vscode,CVE-2023-24893,GHSA-4v3r-wv86-6mjj,GHSA-4v3r-wv86-6mjj,1,high,2023-04-11,Remote Code Execution Vulnerability ,,,1.77.1,,b7886d7461186a5eac768481578c1d7ca80e2d21,resolved from tag 1.77.1,fix: glib schema generation for snaps (#179109)  fix: glib schema generation for snaps (#179089),deepak1556,0,179109,unresolved,none,0,,,,0
microsoft/vscode,CVE-2023-21779,GHSA-p996-wrgh-crrj,GHSA-p996-wrgh-crrj,1,medium,2023-01-10,Remote Code Execution Vulnerability,,VS Code,1.74.3,,97dec172d3256f8ca4bfb2143f3f76b503ca0534,resolved from tag 1.74.3,Merge pull request #569 from microsoft/dev/mjbvz/notebook-html-174-fix  Safer construction of notebook html (MSRC fix),mjbvz,0,,unresolved,none,0,,,,0
microsoft/vscode,CVE-2022-41042,GHSA-fj7x-w8c2-xx4c,GHSA-fj7x-w8c2-xx4c,1,medium,2022-10-11,Information Disclosure Vulnerability,vs code,,1.71.1,,a44493aed3c9ccdec18a4bc00869403736b29c64,resolved from tag 1.71.1,Merge pull request #160825 from microsoft/dev/mjbvz/1.71.1msrc  Apply fixes to 1.71 release,mjbvz,0,160825,unresolved,none,0,,,,0
microsoft/vscode,CVE-2022-41034,GHSA-q6rv-h25q-6pj6,GHSA-q6rv-h25q-6pj6,1,high,2022-10-11,Remote Code Execution Vulnerability,vs code,,1.71.1,,a44493aed3c9ccdec18a4bc00869403736b29c64,resolved from tag 1.71.1,Merge pull request #160825 from microsoft/dev/mjbvz/1.71.1msrc  Apply fixes to 1.71 release,mjbvz,0,160825,unresolved,none,0,,,,0
microsoft/vscode,CVE-2022-38020,GHSA-6c5x-m47q-5xmf,GHSA-6c5x-m47q-5xmf,1,high,2022-09-14,Elevation of Privilege Vulnerability,vs code,,1.71.1,,a44493aed3c9ccdec18a4bc00869403736b29c64,resolved from tag 1.71.1,Merge pull request #160825 from microsoft/dev/mjbvz/1.71.1msrc  Apply fixes to 1.71 release,mjbvz,0,160825,unresolved,none,0,,,,0
microsoft/vscode,CVE-2022-21991,GHSA-5q6q-39p2-37cx,GHSA-5q6q-39p2-37cx,1,high,2022-05-25,Remote Code Execution Vulnerability,vs code,,1.64.1,,d6ee99e4c045a6716e5c653d7da8e9ae6f5a8b03,resolved from tag 1.64.1,Bump distro and version (#142419),mjbvz,0,142419,unresolved,none,0,,,,0
microsoft/vscode,CVE-2022-24526,GHSA-9rwm-gmc5-vhrf,GHSA-9rwm-gmc5-vhrf,1,high,2022-05-25,Spoofing Vulnerability,vs code,,1.65.1,,8908a9ca0f221f36507231afb39d2d8d1e182702,resolved from tag 1.65.1,Bump distro and version,mjbvz,0,,unresolved,none,0,,,,0
microsoft/vscode,CVE-2022-26921,GHSA-wrm3-w8h4-q8mx,GHSA-wrm3-w8h4-q8mx,1,high,2022-05-25,Elevation of Privilege Vulnerability,vs code,,1.66.2,,dfd34e8260c270da74b5c2d86d61aee4b6d56977,resolved from tag 1.66.2,"Fix permissions for everything inside the installation folder (#342)  * add ci to iacls  * make sure files get affected too  Co-authored-by: Joao Moreno <joao.moreno@microsoft.com>",sbatten,0,,unresolved,none,0,,,,0
microsoft/vscode,CVE-2022-30129,GHSA-jfjw-mv65-hg44,GHSA-jfjw-mv65-hg44,1,high,2022-05-25,Remote Code Execution Vulnerability,vs code,,1.67.1,,da15b6fd3ef856477bf6f4fb29ba1b7af717770d,resolved from tag 1.67.1,Merge pull request #349 from microsoft/lszomoru/release/msrc/1.67  Bump product version,lszomoru,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2026-27980,GHSA-3x4c-7xq6-9pq8,GHSA-3x4c-7xq6-9pq8,1,medium,2026-03-16,Unbounded next/image disk cache growth can exhaust storage,npm,next,"15.5.14, 16.1.7",CWE-400,,"resolved from tag v15.5.14, 16.1.7",,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2026-27978,GHSA-mq59-m269-xvcx,GHSA-mq59-m269-xvcx,1,medium,2026-03-16,null origin can bypass Server Actions CSRF checks,npm,next,16.1.7,CWE-352,bdf3e3577a6d55ea186a48238d61fbd8da07a626,resolved from tag v16.1.7,v16.1.7,nextjs-bot,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2026-27977,GHSA-jcc7-9wpm-mj36,GHSA-jcc7-9wpm-mj36,1,low,2026-03-16,null origin can bypass dev HMR websocket CSRF checks,npm,next,16.1.7,CWE-1385,bdf3e3577a6d55ea186a48238d61fbd8da07a626,resolved from tag v16.1.7,v16.1.7,nextjs-bot,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2026-27979,GHSA-h27x-g6w4-24gq,GHSA-h27x-g6w4-24gq,1,medium,2026-03-16,Unbounded postponed resume buffering can lead to DoS,npm,next,16.1.7,CWE-770,bdf3e3577a6d55ea186a48238d61fbd8da07a626,resolved from tag v16.1.7,v16.1.7,nextjs-bot,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2026-29057,GHSA-ggv3-7p47-pfv8,GHSA-ggv3-7p47-pfv8,1,medium,2026-03-16,HTTP request smuggling in rewrites,npm,next,"16.1.7, 15.5.13",CWE-444,,"resolved from tag v16.1.7, 15.5.13",,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2026-23864,GHSA-h25m-26qc-wcjf,GHSA-h25m-26qc-wcjf,1,high,2026-01-26,Denial of Service with Server Components,npm,next,"15.0.8, 15.1.12, 15.2.9, 15.3.9, 15.4.11, 15.5.10, 15.6.0-canary.61, 16.0.11, 16.1.5",CWE-770,,"resolved from tag v15.0.8, 15.1.12, 15.2.9, 15.3.9, 15.4.11, 15.5.10, 15.6.0-canary.61, 16.0.11, 16.1.5",,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-59472,GHSA-5f7q-jpqc-wp7h,GHSA-5f7q-jpqc-wp7h,1,medium,2026-01-26,Denial of Service in Partial Pre Rendering,npm,next,15.0.0; 15.0.1; 15.0.2; 15.0.3; 15.0.4; 15.1.0; 15.1.1; 15.1.2; 15.1.3; 15.1.4; 15.1.5; 15.1.6; 15.1.7; 15.2.0; 15.2.1; 15.2.2; 15.2.3; 15.2.4; 15.2.5; 15.3.0; 15.3.1; 15.3.2; 15.1.8; 15.3.3; 15.4.0; 15.3.4; 15.3.5; 15.4.1; 15.4.2; 15.4.3; 15.4.4; 15.4.5; 15.4.6; 15.4.7; 15.5.0; 15.5.1; 15.5.2; 15.5.3; 15.5.4; 15.5.5; 15.5.6; 15.5.7; 15.4.8; 15.1.9; 15.0.5; 15.3.6; 15.2.6; 15.5.8; 15.4.9; 15.3.7; 15.2.7; 15.1.10; 15.0.6; 15.5.9; 15.4.10; 15.3.8; 15.2.8; 15.1.11; 15.0.7; 16.1.5,CWE-770,51bfe3c1863b191f4b039bc230e8ed5c57b0baf3,resolved from tag v15.0.0,v15.0.0,vercel-release-bot,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-59471,GHSA-9g9p-9gw9-jx7f,GHSA-9g9p-9gw9-jx7f,1,medium,2026-01-26,Denial of Service in Image Optimizer,npm,next,; ; ; ; ; 15.5.10; 16.1.5,CWE-770,,,,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-67779,GHSA-5j59-xgg2-r9c4,GHSA-5j59-xgg2-r9c4,1,high,2025-12-11,Denial of Service with Server Components - Incomplete Fix Follow-Up,npm,next,"14.2.35, 15.0.7, 15.1.11, 15.2.8, 15.3.8, 15.4.10, 15.5.9, 15.6.0-canary.60, 16.0.10, 16.1.0-canary.19",,,"resolved from tag v14.2.35, 15.0.7, 15.1.11, 15.2.8, 15.3.8, 15.4.10, 15.5.9, 15.6.0-canary.60, 16.0.10, 16.1.0-canary.19",,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-55183,GHSA-w37m-7fhw-fmv9,GHSA-w37m-7fhw-fmv9,1,medium,2025-12-11,Server Actions Source Code Exposure ,npm,next,"16.0.9, 15.5.8, 15.4.9, 15.3.7, 15.2.7, 15.1.10, 15.0.6, 15.6.0-canary.59, 16.1.0-canary.17",,,"resolved from tag v16.0.9, 15.5.8, 15.4.9, 15.3.7, 15.2.7, 15.1.10, 15.0.6, 15.6.0-canary.59, 16.1.0-canary.17",,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-55184,GHSA-mwv6-3258-q52c,GHSA-mwv6-3258-q52c,1,high,2025-12-11,Denial of Service with Server Components,npm,next,"16.0.9, 15.5.8, 15.4.9, 15.3.7, 15.2.7, 15.1.10, 15.0.6, 14.2.34, 15.6.0-canary.59, 16.1.0-canary.17",,,"resolved from tag v16.0.9, 15.5.8, 15.4.9, 15.3.7, 15.2.7, 15.1.10, 15.0.6, 14.2.34, 15.6.0-canary.59, 16.1.0-canary.17",,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-55182,GHSA-9qr9-h5gf-34mp,GHSA-9qr9-h5gf-34mp,1,critical,2025-12-03,RCE in React Server Components,npm,next,"v16.0.7, v15.5.7, v15.4.8, v15.3.6, v15.2.6, v15.1.9, v15.0.5, 15.6.0-canary.58, 16.1.0-canary.12",CWE-502,7492122a3bbc6655b64ccba04076c73ab418cdcc,v16.0.7 — React2Shell CVSS 10.0 fix,v16.0.7,nextjs-bot,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-57752,GHSA-g5qg-72qw-gw5v,GHSA-g5qg-72qw-gw5v,1,medium,2025-08-29,Cache Key Confusion for Image Optimization API Routes,npm,next,"15.4.5, 14.2.31",CWE-524,,"resolved from tag v15.4.5, 14.2.31",,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-55173,GHSA-xv57-4mr9-wg8v,GHSA-xv57-4mr9-wg8v,1,medium,2025-08-29,Content Injection for Image Optimization,npm,next.js,"15.4.5, 14.2.31",,,"resolved from tag v15.4.5, 14.2.31",,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-57822,GHSA-4342-x723-ch2f,GHSA-4342-x723-ch2f,1,medium,2025-08-29,Improper Middleware Redirect Handling Leads to SSRF,npm,next.js,"14.2.32, 15.4.7",,,"resolved from tag v14.2.32, 15.4.7",,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-49005,GHSA-r2fc-ccr8-96c4,GHSA-r2fc-ccr8-96c4,1,low,2025-07-03,Cache poisoning due to omission of Vary header,npm,next,15.3.3,,3ab8db7383ae904af872e14c26a9bd8a43879819,resolved from tag v15.3.3,v15.3.3,vercel-release-bot,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-49826,GHSA-67rr-84xm-4c7r,GHSA-67rr-84xm-4c7r,1,high,2025-07-03,DoS via cache poisoning ,npm,next,≤15.0.4 and ≥15.2.0,,,resolved from tag v≤15.0.4 and ≥15.2.0,,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-48068,GHSA-3h52-269p-cp9r,GHSA-3h52-269p-cp9r,1,low,2025-05-28,Information exposure in Next.js dev server due to lack of origin verification,npm,next,"14.2.30, >= 15.2.2",CWE-1385,,"resolved from tag v14.2.30, >= 15.2.2",,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-32421,GHSA-qpjv-v59x-3qc4,GHSA-qpjv-v59x-3qc4,1,low,2025-05-14,Race condition to Cache Poisoning ,,next,"≥14.2.24 <15.0.0, ≥15.1.6",CWE-362,,"resolved from tag v≥14.2.24 <15.0.0, ≥15.1.6",,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-30218,GHSA-223j-4rm8-mrmf,GHSA-223j-4rm8-mrmf,1,low,2025-04-02,x-middleware-subrequest-id may be leaked to external hosts,npm,next,"=>12.3.6, =>13.5.10, =>14.2.26, =>15.2.4",,,"resolved from tag v12.3.6, =>13.5.10, =>14.2.26, =>15.2.4",,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2025-29927,GHSA-f82v-jwr5-mffw,GHSA-f82v-jwr5-mffw,1,critical,2025-03-21,Authorization Bypass in Next.js Middleware,npm,next,12.3.5; 14.2.25; 15.2.3; 13.5.9,CWE-285,535e26d3c69de49df8bd17618a424cbe65ec897b,v15.2.3 — middleware bypass fix,v15.2.3,vercel-release-bot,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2024-56332,GHSA-7m27-7ghc-44w9,GHSA-7m27-7ghc-44w9,1,medium,2025-01-03,Denial of Service (DoS) with Server Actions,npm,next,"15.1.2, 14.2.21, 13.5.8",,,"resolved from tag v15.1.2, 14.2.21, 13.5.8",,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2024-51479,GHSA-7gfc-8cq8-jh5f,GHSA-7gfc-8cq8-jh5f,1,high,2024-12-17,Authorization bypass in Next.js,npm,next,14.2.15,CWE-285,737c29e49f9532cce3da8e25d88bc82cf5f5fe9a,resolved from tag v14.2.15,v14.2.15,vercel-release-bot,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2024-47831,GHSA-g77x-44xx-532m,GHSA-g77x-44xx-532m,1,medium,2024-10-14,Denial of Service condition in Next.js image optimization,npm,next,; ; ; ; >=14.2.7,CWE-674,,,,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2024-46982,GHSA-gp8f-8m3g-qvj9,GHSA-gp8f-8m3g-qvj9,1,high,2024-09-17,Cache Poisoning,npm,next,13.5.7; 14.2.10,,681d59f76004734c98d5e4e257b75870b50c2402,resolved from tag v13.5.7,v13.5.7,ijjk,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2024-39693,GHSA-fq54-2j52-jc42,GHSA-fq54-2j52-jc42,1,high,2024-07-10,Denial of Service (DoS) condition,npm,next,>=13.5,CWE-400,ffafad2c35a3f9677bb520f68e989f58f192b931,resolved from tag v13.5,v13.5.0,vercel-release-bot,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2024-34350,GHSA-77r5-gw3j-2mpf,GHSA-77r5-gw3j-2mpf,1,high,2024-05-09,HTTP Request Smuggling,npm,next,>=13.5.1,CWE-444,0c1c7f847ee820f93bdf08e809b1e2e62230ab4b,resolved from tag v13.5.1,v13.5.1,vercel-release-bot,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2024-34351,GHSA-fr5h-rqp8-mj6g,GHSA-fr5h-rqp8-mj6g,1,high,2024-05-09,Server-Side Request Forgery in Server Actions,npm,next,14.1.1,CWE-918,5f59ee5f197a09275da7a9fa876986f22f4b7711,resolved from tag v14.1.1,v14.1.1,ijjk,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2022-36046,GHSA-wff4-fpwg-qqv3,GHSA-wff4-fpwg-qqv3,1,medium,2022-08-24,Unexpected server crash in Next.js version 12.2.3,npm,next,12.2.4,,d6cb795fc6842337e4ba836a399c8d97a8b3aea0,resolved from tag v12.2.4,v12.2.4,ijjk,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2022-23646,GHSA-fmvm-x8mv-47mj,GHSA-fmvm-x8mv-47mj,1,medium,2022-02-17,Improper CSP in Image Optimization API for Next.js versions between 10.0.0 and 12.0.10,npm,next,12.1.0,CWE-451,8545fd1bb02244ced9e8dc9584a764aeae296cd0,resolved from tag v12.1.0,v12.1.0,ijjk,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2022-21721,GHSA-wr66-vrwm-5g5x,GHSA-wr66-vrwm-5g5x,1,medium,2022-01-28,DOS Vulnerability for self-hosted next.js apps using i18n,npm,next,12.0.9,,07431d3e0f057a0bd58af6d456e4bee646fd8b42,resolved from tag v12.0.9,v12.0.9,ijjk,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2021-43803,GHSA-25mp-g6fv-mqxx,GHSA-25mp-g6fv-mqxx,1,high,2021-12-06,Unexpected server crash in Next.js versions above 11.1.0 and below 12.0.5,npm,next,"12.0.5,11.1.3",,,"resolved from tag v12.0.5,11.1.3",,,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2021-39178,GHSA-9gr3-7897-pp7m,GHSA-9gr3-7897-pp7m,1,medium,2021-08-30,XSS in Image Optimization API for Next.js versions between 10.0.0 and 11.1.0,npm,next,11.1.1,CWE-79,804971fd9a49dfd009f7339dd8bf4bc32e6eb02c,resolved from tag v11.1.1,v11.1.1,styfle,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2021-37699,GHSA-vxf5-wxwp-m7g9,GHSA-vxf5-wxwp-m7g9,1,medium,2021-08-11,Open Redirect in Next.js versions below 11.1.0,npm,next,11.1.0,,ce4adfc02d3532e2c62ed8088660df1655e66278,resolved from tag v11.1.0,v11.1.0,timneutkens,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2020-15242,GHSA-x56p-c8cg-q435,GHSA-x56p-c8cg-q435,1,medium,2020-10-08,Open Redirect in Next.js versions between 9.5.0 and 9.5.3,npm,next,9.5.4,,658810815035e55a7031f27c5a6f3c01baa31ccf,resolved from tag v9.5.4,v9.5.4,ijjk,0,,unresolved,none,0,,,,0
vercel/next.js,CVE-2020-5284,GHSA-fq77-7p7r-83rj,GHSA-fq77-7p7r-83rj,1,medium,2020-03-30,Directory Traversal in Next.js versions below 9.3.2,npm,next,9.3.2,,ee0081356d7ea166dfed4765f134730c11ecaecf,resolved from tag v9.3.2,v9.3.2,timneutkens,0,,unresolved,none,0,,,,0
